name,price,spec_score,user_rating,cpu1,cpu2,ram,hdd,ssd,gpu,display,os,warranty
Dell Alienware AW14781TB2A1 Notebook (4th Gen Ci7/ 8GB/ 1TB/2GB Graph/ Win8.1/),116990,53,3.25,4th Gen Intel Core i7 4710MQ,"Quad Core, 8 Threads",8 GB DDR3 RAM,1 TB Hard Disk,NULL,2 GB Nvidia GeForce GT 750M,"14 inches, 1920 x 1080 pixels",Windows 8 OS,1 Year Warranty
Dell Alienware 17 (W560905IN9) Laptop (4th Gen Intel Core i7 /16GB/750GB/SL- 3GB Graph/Win8),159999,47,4.2,4th Gen Intel Core i7 Core i7,NULL,16 GB DDR3L RAM,750 GB Hard Disk,NULL,3 GB Nvidia GTX 770M,"17.3 inches, 1920 x 1080 pixels",Windows 8 OS,1 Year Warranty
Dell Alienware 14 Notebook (4th Gen Ci7/ 8GB/ 1TB/ Win8.1/ 2GB Graph) (AW14781TB2A2),128500,55,3.35,4th Gen Intel Core i7 4710MQ,"Quad Core, 8 Threads",8 GB DDR3 RAM,1 TB Hard Disk,NULL,2 GB Nvidia GeForce GTX 765M,"14 inches, 1920 x 1080 pixels",Windows 8 OS,1 Year Warranty
Dell Alienware AW14787501A Notebook (4th Gen Ci7/ 8GB/ 750GB/ Win8/ 1GB Graph),119890,46,3,4th Gen Intel Core i7 4700MQ,NULL,8 GB DDR3 RAM,750 GB Hard Disk,NULL,1 GB Nvidia GeForce GT 750M,"14 inches, 1920 x 1080 pixels",Windows 8 OS,1 Year Warranty
Dell Alienware AW17781TB2A1 Notebook (4th Gen Ci7/ 8GB/ 1TB/ Win8.1/ 2GB Graph),148999,53,4,4th Gen Intel Core i7 4710MQ,"Quad Core, 8 Threads",8 GB DDR3 RAM,1 TB Hard Disk,NULL,2 GB Nvidia GeForce GTX 860M,"17 inches, 1920 x 1080 pixels",Windows 8 OS,1 Year Warranty
Dell Alienware 14 Laptop (4th Gen Ci7/ 16GB/ 750GB/ Win8/ 2GB Graph) (AW147167502A),151990,53,4.4,4th Gen Intel Core i7 4800MQ,NULL,16 GB DDR3 RAM,750 GB Hard Disk,NULL,2 GB NVIDIA GeForce GTX 765M,"14 inches, 1920 x 1080 pixels",Windows 8 OS,1 Year Warranty
Dell Alienware M14X R2 Laptop (3rd Gen Ci7/ 6GB/ 750GB/ Win8/ 1GB Graph),88297,45,4.3,3rd Gen Intel Core i7 3630QM,NULL,6 GB DDR3 RAM,750 GB Hard Disk,NULL,1 GB NVIDIA GeForce GT 650M,"14 inches, 1600 x 900 pixels",Windows 8 OS,1 Year Warranty
Colorful Evol P15 23-HE55D16512A-W-IND Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),64990,66,4.55,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR5 RAM,NULL,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
Colorful Evol P15 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),84990,65,4.45,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,NULL,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS,1 Year Warranty
Colorful XS 22-HD55016512B-G-IND Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),51990,62,4,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,NULL,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
